Contract_Number,Consumer_ID,Product,Contract_Status,Application Date,Entry Date,StartHalf,First Installment Date,Purchase Amt,Deposit Amt,Financed Amt,Deposit_Percent,Total Term,Term_Run,Term_Remaining,Payment Type,Total No Of Payments,Freq,Instalment Amt,Total Payments Received,Total Balance Outstanding,Amt Paid To Merchant_nettofmerchfeesandGST,Gtee Rate,Gtee Charges,Est Fees,Proc Fees,Other Fees,Total Merchant Charges,Total Consumer Charges,Total Charges,Effective Billing Rate,Expected Contract End Date,No Of Days In Default,Arrears Amount,No Of Days In Arrears,DefaultAmount,DefaultDate,MonthsToDefault,Recent Default_Default Date,Recent Default_Default Amt,Recent Default_Recov Amt,Recent Default_Cure Date,Consumer Post Code,Consumer Year Of Birth,Merchant Number,Merchant Name,Industry Name,Homowner Ind,Homowner Consumer
60415082,L60415082,POOL,Default,2006/3/16,2007/3/4,2007H1,2007/3/21,20260,10260,10000,0.506416584,24,24,0,Bank,24,Mth,416.6666667,4999.92 ,185.08 ,8622.8,0.119699992,1196.99,55,0,0,1251.99 ,20.00,1271.99 ,0.127199,2009/3/21,1096,185.08,736,185.08,2008/7/9,16,2008/3/11,5000.08 ,4815.00 ,,2262,1946/7/13,30111597,BLUE HAVEN POOLS & SPAS - LANSVALE,Pools and Spas,Yes,Yes
61279072,L61279072,SHED,Default,2007/10/2,2007/11/9,2007H2,2007/12/20,16944,4444,12500,0.262275732,30,30,0,Bank,65,FN,192.2781111,384.60 ,7349.61 ,10344,0.153999999,1924.99,35,0,0,1959.99 ,10.00,1969.99 ,0.1575992,2010/6/20,1146,7349.61,801,7349.61,2008/5/20,6,2008/1/21,12115.40 ,4765.79 ,,2469,1968/5/7,30114724,RANBUILD - BALLINA,Sheds & Carports,Yes,Yes
60959967,LA170237,8 WINDW,Default,2006/6/22,2006/8/22,2006H2,2006/9/19,9312,2328,6984,0.25,24,24,0,Bank,52,FN,134.2870328,1208.75 ,1015.00 ,5945.1,0.129500002,904.42,40,0,0,944.42 ,20.00,964.42 ,0.13808992,2008/9/19,1501,1015,1010,1015,2007/5/31,9,2007/1/31,5775.25 ,4760.25 ,,2168,1946/11/26,30112994,HOMECLAD PTY LTD,Patio / Pergola,Yes,Yes
61103151,L61103151,BEDDING,Default,2006/12/9,2006/12/15,2006H2,2006/12/28,5355,0,5355,0,24,24,0,Bank,48,FN,102.9649285,669.36 ,64.68 ,4637.7,0.114299998,612.07,40,0,0,652.07 ,40.00,692.07 ,0.129238095,2008/12/28,1438,64.68,814,64.68,2007/8/2,8,2007/4/4,4685.64 ,4620.96 ,,4670,1980/3/30,30113378,THE LOUNGE ROOM,Furniture / Bedding New,No,No
61032216,L61032216,ROOF,Default,2006/6/5,2006/8/9,2006H2,2006/9/3,5776,0,5776,0,24,24,0,Bank,52,FN,111.0598369,1221.77 ,204.23 ,4907.9,0.128999993,745.1,44,0,0,789.10 ,70.00,859.10 ,0.14873615,2008/9/3,1467,204.23,946,204.23,2007/7/4,11,2007/3/6,4554.23 ,4350.00 ,,6112,1960/3/29,30107418,MODERN ROOF RESTORATION (WA) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
81186763,L81186763,REROOF,Default,2007/3/13,2007/5/13,2007H1,2007/6/9,11000,2000,9000,0.181818182,24,24,0,Bank,52,FN,173.0503,4499.82 ,198.18 ,7815,0.115800001,1042.2,35,0,0,1077.20 ,0.00,1077.20 ,0.119688889,2009/6/9,990,198.18,658,198.18,2008/10/23,17,2008/6/25,4500.18 ,4302.00 ,,5017,1959/8/6,30107410,BRAMALCO,Roofing / Shutters / Gutters,Yes,Yes
61065769,L61065769,BEDDING,Default,2007/5/17,2007/6/10,2007H1,2007/6/20,5069,506.9,4562.1,0.1,24,24,0,CC,24,Mth,190.0875,370.60 ,0.85 ,3821,0.138899997,633.67,40,0,0,673.67 ,40.00,713.67 ,0.156434537,2009/6/20,1296,0.85,632,0.85,2007/12/22,6,2007/8/24,4191.50 ,4190.65 ,,2562,1955/12/28,30106666,WENATEX AUSTRALIA PTY LTD,Furniture / Bedding New,No,No
61045019,L61045019,SURGERY,Default,2007/3/27,2007/4/15,2007H1,2007/4/30,10897,2179.4,8717.6,0.2,30,30,0,Bank,65,FN,134.0962929,4559.71 ,0.39 ,7210.5,0.151999995,1325.07,45,0,0,1370.07 ,50.00,1420.07 ,0.162896898,2009/10/30,898,0.39,500,0.39,2009/1/23,21,2008/9/25,4157.89 ,4157.50 ,,4131,1972/3/8,30113724,THE INTERNATIONAL SURGERY GROUP,Plastic Surgery,No,No
61031225,L61031225,SHUTTER,Default,2006/10/13,2006/10/31,2006H2,2006/11/18,5600,900,4700,0.160714286,24,24,0,Bank,52,FN,90.3707122,763.04 ,46.96 ,4022.9,0.121600002,571.51,44,0,0,615.51 ,10.00,625.51 ,0.133087234,2008/11/18,1431,46.96,853,46.96,2007/8/9,10,2007/4/11,3936.96 ,3890.00 ,,3072,1978/9/14,30107416,MODERN ROOF RESTORATION (VIC) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
81186365,L81186365,ROOF,Default,2007/4/19,2007/6/6,2007H1,2007/7/3,5000,1000,4000,0.2,24,24,0,Bank,52,FN,76.91124442,153.84 ,41.16 ,3451.7,0.113600001,454.4,44,0,0,498.40 ,0.00,498.40 ,0.1246,2009/7/3,1318,41.16,626,41.16,2007/11/30,5,2007/8/2,3846.16 ,3805.00 ,,6530,1966/7/8,30107418,MODERN ROOF RESTORATION (WA) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
61310042,L61310042,JASPER,Default,2007/10/14,2007/12/24,2007H2,2007/12/31,7055,2395,4660,0.339475549,24,24,0,Bank,24,Mth,194.1666667,776.64 ,123.88 ,4059.3,0.108599998,506.07,40,0,0,546.07 ,20.00,566.07 ,0.121474249,2009/12/31,1033,123.88,457,123.88,2008/9/10,9,2008/5/13,3883.36 ,3759.48 ,,2046,1970/7/7,30113001,KING FURNITURE CHATSWOOD,Furniture / Bedding New,No,No
61076477,L61076477,AIRCON,Default,2007/5/24,2007/7/13,2007H2,2007/7/18,6255,0,6255,0,24,24,0,Bank,52,FN,120.2699585,1683.97 ,881.14 ,5241.5,0.140900001,881.32,40,0,0,921.32 ,20.00,941.32 ,0.150490807,2009/7/18,1107,881.14,701,881.14,2008/6/28,11,2008/2/29,4571.03 ,3689.89 ,,6718,1947/8/7,30108864,COOL OR COSY - WA,Air Conditioning / Heating,Yes,Yes
61201696,L61201696,SHED,Default,2007/7/24,2007/8/20,2007H2,2007/9/4,19788,7288,12500,0.368304023,30,30,0,Bank,30,Mth,416.6666667,7499.88 ,1332.64 ,10344,0.153999999,1924.99,35,0,0,1959.99 ,45.00,2004.99 ,0.1603992,2010/3/4,736,1332.64,471,1332.64,2009/7/4,23,2009/3/6,5000.12 ,3667.48 ,,2825,1969/9/15,30114746,RANBUILD - R&T SHED CENTRE MOREE,Sheds & Carports,Yes,Yes
60912228,L60912228,BED,Default,2007/7/31,2007/8/22,2007H2,2007/9/6,4610,500,4110,0.10845987,30,30,0,Bank,65,FN,63.22104292,442.61 ,0.10 ,3319,0.164000005,674.04,45,0,0,719.04 ,0.00,719.04 ,0.174948905,2010/3/6,1188,0.1,373,0.1,2008/4/8,8,2007/12/10,3667.39 ,3667.29 ,,4068,1920/11/26,30106156,CRAFTMATIC AUSTRALIA,Furniture / Bedding New,No,No
60837552,L60837552,ROOFING,Default,2006/3/27,2006/6/5,2006H1,2006/6/23,13600,6600,7000,0.485294118,24,24,0,Bank,52,FN,134.5946777,673.05 ,2662.65 ,5793.3,0.150999993,1056.99,40,0,0,1096.99 ,30.00,1126.99 ,0.160998571,2008/6/23,1649,2662.65,1270,2662.65,2007/1/3,7,2006/9/5,6326.95 ,3664.30 ,,5159,1960/7/9,30108100,ROOF SEAL SA,Roofing / Shutters / Gutters,Yes,Yes
61051310,L61051310,BEDDING,Default,2006/11/18,2006/11/23,2006H2,2006/12/28,3784,0,3784,0,24,24,0,Bank,24,Mth,157.6666667,157.66 ,0.40 ,3264.2,0.114299998,432.51,40,0,0,472.51 ,10.00,482.51 ,0.127513214,2008/12/28,1471,0.4,806,0.4,2007/6/30,7,2007/3/2,3626.34 ,3625.94 ,,3023,1972/10/3,30106706,BEDS R US TAYLORS LAKE,Furniture / Bedding New,No,No
60882951,L60882951,BED,Default,2006/2/20,2006/3/12,2006H1,2006/3/20,4500,900,3600,0.2,24,24,0,Bank,52,FN,69.22011998,0.00 ,0.04 ,3020.6,0.135200009,486.71,40,0,0,526.71 ,0.00,526.71 ,0.146308333,2008/3/20,1810,0.04,1089,0.04,2006/7/26,4,2006/3/28,3600.00 ,3599.96 ,,2216,1919/11/20,30106156,CRAFTMATIC AUSTRALIA,Furniture / Bedding New,No,No
60992531,L60992531,INS/ROU,Default,2006/7/13,2006/7/20,2006H2,2006/8/8,6963,0,6963,0,24,24,0,Bank,52,FN,133.8832487,1091.56 ,2291.94 ,5826,0.142700002,993.62,40,0,0,1033.62 ,20.00,1053.62 ,0.151316961,2008/8/8,1559,2291.94,1187,2291.94,2007/4/3,9,2006/12/4,5871.44 ,3579.50 ,,5113,1979/11/27,30108865,COOL OR COSY SA,Air Conditioning / Heating,Yes,Yes
60575730,L60575730,A/C,Default,2005/10/15,2006/3/23,2006H1,2006/4/7,8000,0,8000,0,24,24,0,Bank,24,Mth,333.3333333,3662.08 ,830.52 ,6700.2,0.142700002,1141.6,40,0,0,1181.60 ,10.00,1191.60 ,0.14895,2008/4/7,1453,830.52,1144,830.52,2007/7/18,16,2007/3/20,4337.92 ,3507.40 ,,6701,1985/9/20,30108864,COOL OR COSY - WA,Air Conditioning / Heating,Yes,Yes
81028250,L81028250,SHUTTER,Default,2007/9/10,2007/11/1,2007H2,2007/11/24,8350,1670,6680,0.2,24,24,0,CC,24,Mth,278.3333333,973.33 ,2276.67 ,5777.7,0.1162,776.21,44,0,0,820.21 ,30.00,850.21 ,0.127276946,2009/11/24,954,2276.67,666,2276.67,2008/11/28,12,2008/7/31,5706.67 ,3430.00 ,,6432,1961/3/13,30107418,MODERN ROOF RESTORATION (WA) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
81185408,L81185408,SHUTTER,Default,2007/6/29,2007/8/22,2007H2,2007/9/8,5245,525,4720,0.100095329,24,24,0,Bank,52,FN,90.75526842,453.80 ,846.20 ,4033.5,0.122900002,580.08,44,0,0,624.08 ,0.00,624.08 ,0.132220339,2009/9/8,1207,846.2,682,846.2,2008/3/20,7,2007/11/21,4266.20 ,3420.00 ,,3064,1979/9/6,30107416,MODERN ROOF RESTORATION (VIC) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
60813670,L60813670,SHUTTER,Default,2006/2/21,2006/4/2,2006H1,2006/4/20,5921.55,1480.4,4441.15,0.250002111,24,24,0,Bank,24,Mth,185.0479167,935.05 ,96.10 ,3884.6,0.104000002,461.87,44,0,0,505.87 ,30.00,535.87 ,0.120660189,2008/4/20,1627,96.1,1073,96.1,2007/1/25,9,2006/9/27,3506.10 ,3410.00 ,,3021,1986/10/15,30107416,MODERN ROOF RESTORATION (VIC) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
60908704,L60908704,INSULAT,Default,2006/6/8,2006/6/22,2006H1,2006/7/10,3410,0,3410,0,18,18,0,Bank,39,FN,87.42244783,0.00 ,0.23 ,2929.5,0.1184,403.74,33,0,0,436.74 ,0.00,436.74 ,0.128076246,2008/1/10,1697,0.23,1159,0.23,2006/11/16,5,2006/7/19,3410.00 ,3409.77 ,,5605,1934/4/3,30108865,COOL OR COSY SA,Air Conditioning / Heating,Yes,Yes
60951387,L60951387,SHUTTER,Default,2007/1/4,2007/2/11,2007H1,2007/3/7,4414,450,3964,0.101948346,12,12,0,Bank,26,FN,152.4380864,152.46 ,414.12 ,3540.3,0.090599999,359.13,26,0,0,385.13 ,0.00,385.13 ,0.097156912,2008/3/7,1432,414.12,1138,414.12,2007/8/8,6,2007/4/10,3811.54 ,3397.42 ,,2770,1957/4/5,30107010,MODERN ROOF RESTORATION (NSW) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
81191146,L81191146,SHUTTER,Default,2007/9/7,2007/11/7,2007H2,2007/11/25,12203,1220,10983,0.099975416,30,30,0,Bank,30,Mth,366.1,3596.10 ,4024.70 ,8950.8,0.164199993,1803.4,44,0,0,1847.40 ,20.00,1867.40 ,0.170026404,2010/5/25,891,4024.7,619,4024.7,2009/1/30,14,2008/10/2,7386.90 ,3362.20 ,,3030,1967/9/21,30107416,MODERN ROOF RESTORATION (VIC) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
61249604,L61249604,AIR CON,Default,2007/12/13,2007/12/17,2007H2,2008/1/13,4700,1175,3525,0.25,18,18,0,Bank,18,Mth,195.8333333,0.00 ,165.83 ,3102.9,0.097499996,343.68,40,0,0,383.68 ,0.00,383.68 ,0.10884539,2009/7/13,1151,165.83,634,165.83,2008/5/15,5,2008/1/16,3525.00 ,3359.17 ,,3064,1964/2/1,30108836,AGL ASSIST VIC,Hot Water / Gas,Yes,Yes
61032656,L61032656,DOOR,Default,2006/12/9,2007/1/24,2007H1,2007/3/18,4900,500,4400,0.102040816,24,24,0,Bank,52,FN,84.60236887,0.00 ,1050.00 ,3801.7,0.113600001,499.84,44,0,0,543.84 ,30.00,573.84 ,0.130418182,2009/3/18,1452,1050,899,1050,2007/7/19,6,2007/3/21,4400.00 ,3350.00 ,,6108,1971/3/11,30107418,MODERN ROOF RESTORATION (WA) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
61204722,L61204722,SHEDS,Default,2007/7/1,2007/9/11,2007H2,2007/10/8,7260,726,6534,0.1,24,24,0,Bank,24,Mth,272.25,1361.25 ,1847.75 ,5616.2,0.123099998,804.33,30,0,0,834.33 ,10.00,844.33 ,0.129220998,2009/10/8,1080,1847.75,722,1847.75,2008/7/25,10,2008/3/27,5172.75 ,3325.00 ,,6284,1974/10/1,30114635,RANBUILD - OUTDOOR WORLD MANJIMUP,Sheds & Carports,Yes,Yes
61102838,L61102838,AIRCON,Default,2007/6/6,2007/7/4,2007H2,2007/7/20,12410,2482,9928,0.2,24,24,0,Bank,24,Mth,413.6666667,1654.64 ,4950.00 ,8529.8,0.124499999,1236.03,35,0,0,1271.03 ,40.00,1311.03 ,0.132053787,2009/7/20,1206,4950,964,4950,2008/3/21,8,2007/11/22,8273.36 ,3323.36 ,,6155,1959/6/18,30108905,GAS AND AIR  WILLETTON,Air Conditioning / Heating,Yes,Yes
61137345,L61137345,SHUTTER,Default,2007/2/7,2007/3/20,2007H1,2007/3/30,6014,0,6014,0,24,24,0,Bank,52,FN,115.636056,462.60 ,2231.95 ,5103.1,0.132200003,795.05,33,0,0,828.05 ,10.00,838.05 ,0.13934985,2009/3/30,1369,2231.95,978,2231.95,2007/10/10,7,2007/6/12,5551.40 ,3319.45 ,,6112,1973/2/4,30108363,OZ-SHUT ROLLER SHUTTERS,Roofing / Shutters / Gutters,Yes,Yes
60672735,L60672735,SHUTTER,Default,2006/8/21,2007/3/14,2007H1,2007/3/19,5340,1336,4004,0.250187266,18,18,0,Bank,36,FN,102.6508742,744.61 ,8.99 ,3507.6,0.1052,421.22,30,0,0,451.22 ,30.00,481.22 ,0.120184815,2008/9/19,1338,8.99,907,8.99,2007/11/10,8,2007/7/13,3259.39 ,3250.40 ,,3170,1950/2/7,30104172,NU STYLE HOME IMPROVEMENTS,Roofing / Shutters / Gutters,Yes,Yes
61099920,L61099920,BEDDING,Default,2007/4/2,2007/5/23,2007H1,2007/6/7,4836,483.6,4352.4,0.1,24,24,0,CC,24,Mth,181.35,1089.54 ,12.86 ,3643.8,0.138799995,604.11,40,0,0,644.11 ,10.00,654.11 ,0.150287198,2009/6/7,1188,12.86,647,12.86,2008/4/8,11,2007/12/10,3262.86 ,3250.00 ,,4036,1973/1/18,30106666,WENATEX AUSTRALIA PTY LTD,Furniture / Bedding New,No,No
60949155,L60949155,AIRCON,Default,2006/3/25,2006/4/30,2006H1,2006/5/10,6590,0,6590,0,24,24,0,Bank,52,FN,126.7112752,252.73 ,3098.27 ,5506,0.142700002,940.39,40,0,5,985.39 ,0.00,985.39 ,0.149528073,2008/5/10,1691,3098.27,1358,3098.27,2006/11/22,7,2006/7/25,6337.27 ,3239.00 ,,6722,1961/4/27,30108864,COOL OR COSY - WA,Air Conditioning / Heating,Yes,Yes
61038184,L61038184,1001259,Default,2006/8/26,2006/9/11,2006H2,2006/9/29,5400,1400,4000,0.259259259,18,18,0,Bank,36,FN,102.5483259,746.77 ,37.23 ,3464.6,0.114799999,459.19,27.5,0,0,486.69 ,50.00,536.69 ,0.1341725,2008/3/29,1514,37.23,1084,37.23,2007/5/18,8,2007/1/18,3253.23 ,3216.00 ,,2320,1972/5/12,30101438,MICHAEL HILL JEWELLER MAITLAND (290),Jewellery,No,No
61160892,L61160892,FURN,Default,2007/2/24,2007/3/1,2007H1,2007/3/16,5547,1000,4547,0.180277628,24,24,0,Bank,24,Mth,189.4583333,1337.80 ,14.20 ,3935.3,0.113499999,516.08,40,0,0,556.08 ,10.00,566.08 ,0.124495272,2009/3/16,1270,14.2,730,14.2,2008/1/17,10,2007/9/19,3209.20 ,3195.00 ,,3178,1982/9/17,30107884,OZ DESIGN NARRE WARREN,Furniture / Bedding New,No,No
61207764,L61207764,DIAMOND,Default,2007/6/21,2007/7/1,2007H2,2007/7/20,4200,420,3780,0.1,18,18,0,CC,18,Mth,210,430.00 ,280.00 ,3231,0.123300001,466.07,33,0,0,499.07 ,10.00,509.07 ,0.134674603,2009/1/20,1268,280,823,280,2008/1/19,6,2007/9/21,3350.00 ,3070.00 ,,4076,1969/12/11,30102471,WALLACE BISHOP -  SUNNYBANK,Jewellery,No,No
60917445,L60917445,KITCHEN,Default,2006/5/25,2006/6/20,2006H1,2006/7/15,11124.3,3624.3,7500,0.325800275,24,24,0,Bank,24,Mth,312.5,625.00 ,3845.00 ,6445.3,0.122500002,918.75,40,0,0,958.75 ,0.00,958.75 ,0.127833333,2008/7/15,1635,3845,1343,3845,2007/1/17,7,2006/9/19,6875.00 ,3030.00 ,,2209,1964/12/31,30108136,ST GEORGE HOME IMPROVEMENTS,Patio / Pergola,Yes,Yes
60597755,L60597755,,Default,2006/2/20,2006/2/24,2006H1,2006/3/15,4375,875,3500,0.2,18,18,0,Bank,39,FN,89.72978516,358.96 ,130.00 ,3045.9,0.108499996,379.74,33,0,0,412.74 ,0.00,412.74 ,0.117925714,2007/9/15,1754,130,1295,130,2006/9/20,7,2006/5/23,3141.04 ,3011.04 ,,4519,1972/5/29,30108030,ACE FITNESS EQUIPMENT,Fitness Equipment,No,No
60783512,L81028831,SHUTTER,Default,2005/12/9,2006/6/14,2006H1,2006/7/12,6140,2140,4000,0.348534202,12,12,0,Bank,12,Mth,333.3333333,999.99 ,0.01 ,3639.2,0.075499997,301.99,26,0,0,327.99 ,0.00,327.99 ,0.0819975,2007/7/12,1608,0.01,1341,0.01,2007/2/13,8,2006/10/16,3000.01 ,3000.00 ,,2580,1942/1/17,30107010,MODERN ROOF RESTORATION (NSW) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
61177326,L61177326,SOLARHW,Default,2007/9/5,2007/9/10,2007H2,2007/9/21,6351,3350.95,3000.05,0.527625571,12,12,0,Bank,12,Mth,250.0041667,0.00 ,0.05 ,2730.8,0.073899999,221.7,23,0,0,244.70 ,0.00,244.70 ,0.081565307,2008/9/21,1264,0.05,904,0.05,2008/1/23,4,2007/9/25,3000.05 ,3000.00 ,,5253,1950/9/17,30113944,ECOSMART ADELAIDE,Hot Water / Gas,Yes,Yes
61005018,L61005018,SCOOTER,Default,2006/12/5,2006/12/10,2006H2,2006/12/21,5000,2000,3000,0.4,18,18,0,Bank,39,FN,76.91124442,0.00 ,0.12 ,2481.2,0.146200001,438.59,33,0,0,471.59 ,0.00,471.59 ,0.157196667,2008/6/21,1524,0.12,996,0.12,2007/5/8,5,2007/1/8,3000.00 ,2999.88 ,,6064,1935/12/3,30106173,BLUESKY HEALTHCARE,"Mobility, Health and Therapy",No,No
81190146,L81190146,ROOF RE,Default,2007/6/23,2007/9/16,2007H2,2007/10/12,5429,1000,4429,0.184195985,18,18,0,Bank,39,FN,113.5466339,1022.04 ,426.98 ,3910,0.100199997,443.78,28,0,0,471.78 ,20.00,491.78 ,0.111036351,2009/4/12,1089,426.98,749,426.98,2008/7/16,10,2008/3/18,3406.96 ,2979.98 ,,5159,1976/11/13,30107410,BRAMALCO,Roofing / Shutters / Gutters,Yes,Yes
61085545,L61085545,SHUTTER,Default,2007/1/22,2007/2/6,2007H1,2007/2/19,10000,0,10000,0,30,30,0,CC,30,Mth,333.3333333,1598.01 ,5446.95 ,8311.5,0.149000004,1489.99,45,0,0,1534.99 ,70.00,1604.99 ,0.160499,2009/8/19,904,5446.95,788,5446.95,2009/1/17,23,2008/9/19,8401.99 ,2955.04 ,,6031,1970/12/9,30108363,OZ-SHUT ROLLER SHUTTERS,Roofing / Shutters / Gutters,Yes,Yes
61040442,L61040442,ROOF,Default,2007/7/5,2007/8/14,2007H2,2007/9/6,10756,2000,8756,0.18594273,30,30,0,Bank,60,FN,134.6869712,2510.81 ,3352.98 ,7201.3,0.155699998,1363.3,45,0,5,1413.30 ,20.00,1433.30 ,0.163693467,2010/3/6,1012,3352.98,717,3352.98,2008/10/1,14,2008/6/3,6245.19 ,2892.21 ,,5118,1964/8/16,30107778,GOTTA GETTA GROUP,Roofing / Shutters / Gutters,Yes,Yes
60965752,L60965752,RING,Default,2006/8/2,2006/8/10,2006H2,2006/8/25,6631,2631,4000,0.396772734,18,18,0,CC,36,FN,102.5483259,1111.10 ,0.10 ,3516.2,0.1017,406.79,33,0,0,439.79 ,10.00,449.79 ,0.1124475,2008/2/25,1517,0.1,1113,0.1,2007/5/15,9,2007/1/15,2888.90 ,2888.80 ,,4213,1983/4/6,30103985,LEDGER & CO FINE JEWELLERY,Jewellery,No,No
